scenario_id,train_1_id,train_1_type,train_1_weight,train_1_speed,train_2_id,train_2_type,train_2_weight,train_2_speed,location,delay_risk
1,Vande Bharat Express (12018),High_Speed,430t,130 km/h,Bhopal Shatabdi (12792),Express,550t,110 km/h,Itarsi Junction,High
2,Vande Bharat Express (12560),High_Speed,430t,130 km/h,Rajdhani Express (11456),Express,600t,120 km/h,Kanpur Central,Low
3,WAG-12 Heavy Freight (11347),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11686),Freight,4500t,60 km/h,Vijayawada Line,Medium
4,BOXN Coal Rake (11890),Freight,4500t,60 km/h,Rajdhani Express (11421),Express,600t,120 km/h,Kanpur Central,Medium
5,BOXN Coal Rake (11297),Freight,4500t,60 km/h,Rajdhani Express (12030),Express,600t,120 km/h,Vijayawada Line,Medium
6,Vande Bharat Express (11648),High_Speed,430t,130 km/h,Bhopal Shatabdi (12063),Express,550t,110 km/h,Itarsi Junction,High
7,Vande Bharat Express (11587),High_Speed,430t,130 km/h,BOXN Coal Rake (11404),Freight,4500t,60 km/h,Vijayawada Line,Medium
8,Bhopal Shatabdi (11814),Express,550t,110 km/h,EMU Local (11396),Commuter,300t,80 km/h,Itarsi Junction,High
9,WAG-12 Heavy Freight (12633),Heavy Freight,6000t,75 km/h,BOXN Coal Rake (11093),Freight,4500t,60 km/h,Nagpur Crossing,Medium
10,BOXN Coal Rake (11239),Freight,4500t,60 km/h,Bhopal Shatabdi (12806),Express,550t,110 km/h,Itarsi Junction,Low
11,Bhopal Shatabdi (12049),Express,550t,110 km/h,BOXN Coal Rake (11389),Freight,4500t,60 km/h,Bhusawal Block,High
12,Bhopal Shatabdi (11944),Express,550t,110 km/h,WAG-12 Heavy Freight (12441),Heavy Freight,6000t,75 km/h,Bhusawal Block,Medium
13,Vande Bharat Express (11353),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (11717),Heavy Freight,6000t,75 km/h,Vijayawada Line,High
14,EMU Local (11220),Commuter,300t,80 km/h,WAG-12 Heavy Freight (11984),Heavy Freight,6000t,75 km/h,Kanpur Central,Medium
15,Bhopal Shatabdi (12604),Express,550t,110 km/h,WAG-12 Heavy Freight (12969),Heavy Freight,6000t,75 km/h,Nagpur Crossing,High
16,EMU Local (11150),Commuter,300t,80 km/h,Bhopal Shatabdi (11034),Express,550t,110 km/h,Vijayawada Line,Low
17,WAG-12 Heavy Freight (12356),Heavy Freight,6000t,75 km/h,Bhopal Shatabdi (12137),Express,550t,110 km/h,Kanpur Central,High
18,Bhopal Shatabdi (12242),Express,550t,110 km/h,WAG-12 Heavy Freight (11119),Heavy Freight,6000t,75 km/h,Itarsi Junction,Low
19,EMU Local (12855),Commuter,300t,80 km/h,WAG-12 Heavy Freight (11328),Heavy Freight,6000t,75 km/h,Vijayawada Line,Low
20,Rajdhani Express (11550),Express,600t,120 km/h,Bhopal Shatabdi (11275),Express,550t,110 km/h,Bhusawal Block,High
21,Rajdhani Express (11444),Express,600t,120 km/h,Bhopal Shatabdi (12350),Express,550t,110 km/h,Itarsi Junction,Low
22,Vande Bharat Express (12645),High_Speed,430t,130 km/h,Rajdhani Express (11787),Express,600t,120 km/h,Kanpur Central,Medium
23,Vande Bharat Express (12720),High_Speed,430t,130 km/h,EMU Local (11888),Commuter,300t,80 km/h,Nagpur Crossing,Medium
24,WAG-12 Heavy Freight (11428),Heavy Freight,6000t,75 km/h,Vande Bharat Express (11081),High_Speed,430t,130 km/h,Kanpur Central,Medium
25,BOXN Coal Rake (12229),Freight,4500t,60 km/h,Rajdhani Express (11992),Express,600t,120 km/h,Kanpur Central,Medium
26,Vande Bharat Express (12432),High_Speed,430t,130 km/h,BOXN Coal Rake (12411),Freight,4500t,60 km/h,Kanpur Central,Medium
27,EMU Local (12496),Commuter,300t,80 km/h,Bhopal Shatabdi (12692),Express,550t,110 km/h,Vijayawada Line,Medium
28,Vande Bharat Express (11239),High_Speed,430t,130 km/h,Rajdhani Express (12984),Express,600t,120 km/h,Nagpur Crossing,Medium
29,BOXN Coal Rake (12800),Freight,4500t,60 km/h,Rajdhani Express (11532),Express,600t,120 km/h,Kanpur Central,Medium
30,Bhopal Shatabdi (11589),Express,550t,110 km/h,WAG-12 Heavy Freight (12013),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Low
31,BOXN Coal Rake (12432),Freight,4500t,60 km/h,Rajdhani Express (12013),Express,600t,120 km/h,Itarsi Junction,Medium
32,WAG-12 Heavy Freight (11546),Heavy Freight,6000t,75 km/h,EMU Local (12590),Commuter,300t,80 km/h,Nagpur Crossing,Low
33,Vande Bharat Express (12898),High_Speed,430t,130 km/h,WAG-12 Heavy Freight (12301),Heavy Freight,6000t,75 km/h,Nagpur Crossing,Medium
34,EMU Local (11136),Commuter,300t,80 km/h,Rajdhani Express (12340),Express,600t,120 km/h,Itarsi Junction,Medium
35,Bhopal Shatabdi (11099),Express,550t,110 km/h,BOXN Coal Rake (12487),Freight,4500t,60 km/h,Itarsi Junction,Low
36,Bhopal Shatabdi (12417),Express,550t,110 km/h,Vande Bharat Express (11556),High_Speed,430t,130 km/h,Vijayawada Line,Medium
37,BOXN Coal Rake (11386),Freight,4500t,60 km/h,Rajdhani Express (11933),Express,600t,120 km/h,Bhusawal Block,Low
